"","year","term"
"73466",2009,"jazz"
"73483",2009,"rock"
"73486",1991,"pop"
"73508",1991,"hip hop"
"73509",1991,"jazz"
"73526",1991,"rock"
"73529",1980,"pop"
"73551",1980,"hip hop"
"73552",1980,"jazz"
"73569",1980,"rock"
"73572",1977,"pop"
"73594",1977,"hip hop"
"73595",1977,"jazz"
"73612",1977,"rock"
"73664",1995,"jazz"
"73665",1995,"pop"
"73669",1995,"rock"
"73683",2001,"jazz"
"73684",2001,"pop"
"73688",2001,"rock"
"73714",2004,"rock"
"73758",2006,"rock"
"73802",2004,"rock"
"73880",1998,"hip hop"
"73893",1998,"rock"
"73916",2003,"hip hop"
"73929",2003,"rock"
"73980",2004,"rock"
"73983",2004,"indie"
"73990",2004,"hip hop"
"74010",2004,"rock"
"74013",2004,"indie"
"74020",2004,"hip hop"
"74028",1997,"rock"
"74029",1997,"pop"
"74040",2004,"rock"
"74041",2004,"pop"
"74082",2006,"pop"
"74091",1999,"pop"
"74102",1999,"indie"
"74103",1999,"rock"
"74110",2005,"pop"
"74121",2005,"indie"
"74122",2005,"rock"
"74129",2002,"pop"
"74140",2002,"indie"
"74141",2002,"rock"
"74148",2005,"pop"
"74159",2005,"indie"
"74160",2005,"rock"
"74167",2005,"pop"
"74178",2005,"indie"
"74179",2005,"rock"
"74186",2003,"pop"
"74197",2003,"indie"
"74198",2003,"rock"
"74207",1984,"rock"
"74221",1984,"pop"
"74229",2006,"rock"
"74243",2006,"pop"
"74251",2008,"rock"
"74265",2008,"pop"
"74275",2001,"rock"
"74299",2001,"indie"
"74305",2001,"rock"
"74329",2001,"indie"
"74335",2001,"rock"
"74342",2001,"jazz"
"74361",2001,"pop"
"74382",2009,"rock"
"74409",2007,"rock"
"74436",2007,"rock"
"74463",2009,"rock"
"74486",2009,"pop"
"74492",2009,"indie"
"74506",2009,"hip hop"
"74532",1988,"pop"
"74541",1988,"jazz"
"74552",1988,"rock"
"74580",2007,"pop"
"74589",2007,"jazz"
"74600",2007,"rock"
"74628",1997,"pop"
"74637",1997,"jazz"
"74648",1997,"rock"
"74676",1997,"pop"
"74685",1997,"jazz"
"74696",1997,"rock"
"74724",2002,"pop"
"74733",2002,"jazz"
"74744",2002,"rock"
"74772",2010,"pop"
"74781",2010,"jazz"
"74792",2010,"rock"
"74820",1967,"pop"
"74829",1967,"jazz"
"74840",1967,"rock"
"74868",1966,"pop"
"74877",1966,"jazz"
"74888",1966,"rock"
"74916",2010,"pop"
"74925",2010,"jazz"
"74936",2010,"rock"
"74947",1977,"indie"
"74975",1977,"pop"
"74981",1977,"rock"
"74983",1977,"jazz"
"74986",1982,"indie"
"75014",1982,"pop"
"75020",1982,"rock"
"75022",1982,"jazz"
"75026",2009,"pop"
"75039",2009,"rock"
"75106",1970,"rock"
"75117",2008,"pop"
"75119",2008,"rock"
"75130",2004,"pop"
"75132",2004,"rock"
"75143",2008,"pop"
"75145",2008,"rock"
"75156",2008,"pop"
"75158",2008,"rock"
"75163",2004,"pop"
"75177",2004,"hip hop"
"75182",2007,"pop"
"75196",2007,"hip hop"
"75202",2007,"pop"
"75233",1979,"hip hop"
"75234",1979,"pop"
"75244",1979,"rock"
"75272",2007,"hip hop"
"75273",2007,"pop"
"75283",2007,"rock"
"75311",2004,"hip hop"
"75312",2004,"pop"
"75322",2004,"rock"
"75368",1961,"indie"
"75385",2000,"rock"
"75388",2000,"hip hop"
"75396",2000,"indie"
"75397",2000,"jazz"
"75415",2000,"pop"
"75430",2000,"rock"
"75433",2000,"hip hop"
"75441",2000,"indie"
"75442",2000,"jazz"
"75460",2000,"pop"
"75463",1977,"indie"
"75470",1977,"rock"
"75478",1977,"indie"
"75485",1977,"rock"
"75493",1980,"indie"
"75500",1980,"rock"
"75508",1980,"indie"
"75515",1980,"rock"
"75550",2006,"rock"
"75555",2009,"pop"
"75559",2009,"jazz"
"75566",2009,"rock"
"75573",2007,"pop"
"75577",2007,"jazz"
"75584",2007,"rock"
"75591",2009,"pop"
"75595",2009,"jazz"
"75602",2009,"rock"
"75607",2006,"rock"
"75608",2006,"pop"
"75632",2006,"indie"
"75646",2006,"jazz"
"75655",2007,"hip hop"
"75668",2007,"pop"
"75686",2007,"indie"
"75689",2007,"rock"
"75701",2006,"hip hop"
"75714",2006,"pop"
"75732",2006,"indie"
"75735",2006,"rock"
"75748",2008,"indie"
"75760",2008,"pop"
"75761",2008,"rock"
"75781",2007,"rock"
"75795",1994,"rock"
"75803",1994,"pop"
"75813",1994,"jazz"
"75825",1994,"rock"
"75833",1994,"pop"
"75843",1994,"jazz"
"75855",1994,"rock"
"75863",1994,"pop"
"75873",1994,"jazz"
"75885",1994,"rock"
"75893",1994,"pop"
"75903",1994,"jazz"
"75909",2001,"rock"
"75911",2001,"pop"
"75921",2001,"jazz"
"75956",2005,"pop"
"75969",2005,"rock"
"75999",2005,"pop"
"76012",2005,"rock"
"76045",2009,"rock"
"76090",2009,"rock"
"76135",2002,"rock"
"76177",2005,"indie"
"76206",2005,"rock"
"76233",2009,"pop"
"76234",2009,"jazz"
"76243",2009,"pop"
"76244",2009,"jazz"
"76253",2009,"pop"
"76254",2009,"jazz"
"76270",1989,"indie"
"76284",1989,"rock"
"76329",1978,"rock"
"76330",1978,"jazz"
"76370",2009,"jazz"
"76378",2009,"indie"
"76379",2009,"rock"
"76393",1989,"pop"
"76409",1989,"hip hop"
"76431",2007,"indie"
"76432",2007,"rock"
"76443",2003,"indie"
"76444",2003,"rock"
"76468",1993,"pop"
"76478",1993,"jazz"
"76496",1993,"pop"
"76506",1993,"jazz"
"76584",1986,"rock"
"76602",1982,"rock"
"76620",1982,"rock"
"76635",2005,"pop"
"76649",2005,"hip hop"
"76661",2005,"rock"
"76673",1991,"rock"
"76693",1991,"pop"
"76712",1975,"rock"
"76732",1975,"pop"
"76751",1977,"rock"
"76771",1977,"pop"
"76790",1975,"rock"
"76810",1975,"pop"
"76826",1964,"indie"
"76837",1964,"jazz"
"76843",1964,"rock"
"76858",1964,"pop"
"76873",1996,"rock"
"76882",1996,"indie"
"76883",1996,"pop"
"76892",2008,"rock"
"76906",2008,"pop"
"76908",2008,"hip hop"
"76912",2008,"indie"
"76917",2007,"rock"
"76931",2007,"pop"
"76933",2007,"hip hop"
"76937",2007,"indie"
"76942",2005,"pop"
"76944",2005,"jazz"
"76953",2005,"rock"
"76976",1983,"rock"
"76977",1983,"pop"
"76992",1983,"indie"
"77001",1983,"jazz"
"77021",1977,"rock"
"77022",1977,"pop"
"77037",1977,"indie"
"77046",1977,"jazz"
"77066",1983,"rock"
"77067",1983,"pop"
"77082",1983,"indie"
"77091",1983,"jazz"
"77111",1980,"rock"
"77112",1980,"pop"
"77127",1980,"indie"
"77136",1980,"jazz"
"77148",2004,"jazz"
"77154",2004,"pop"
"77169",2004,"indie"
"77179",2004,"rock"
"77185",2005,"jazz"
"77191",2005,"pop"
"77206",2005,"indie"
"77216",2005,"rock"
"77238",1982,"pop"
"77251",1982,"rock"
"77252",1982,"indie"
"77256",1982,"hip hop"
"77257",1982,"jazz"
"77274",1996,"rock"
"77297",1996,"jazz"
"77299",1996,"hip hop"
"77304",1996,"pop"
"77323",1996,"rock"
"77346",1996,"jazz"
"77348",1996,"hip hop"
"77353",1996,"pop"
"77364",2004,"rock"
"77387",2000,"rock"
"77410",1998,"rock"
"77447",2003,"rock"
"77460",2003,"jazz"
"77474",1968,"jazz"
"77484",1968,"hip hop"
"77491",1968,"rock"
"77508",1968,"pop"
"77521",2001,"jazz"
"77531",2001,"hip hop"
"77538",2001,"rock"
"77555",2001,"pop"
"77562",1991,"pop"
"77572",1991,"rock"
"77583",2009,"indie"
"77586",2009,"hip hop"
"77593",2009,"rock"
"77622",2009,"pop"
"77628",2008,"indie"
"77631",2008,"hip hop"
"77638",2008,"rock"
"77667",2008,"pop"
"77673",2006,"indie"
"77676",2006,"hip hop"
"77683",2006,"rock"
"77712",2006,"pop"
"77731",1996,"rock"
"77734",1996,"hip hop"
"77738",1996,"pop"
"77779",1992,"rock"
"77782",1992,"hip hop"
"77786",1992,"pop"
"77827",1992,"rock"
"77830",1992,"hip hop"
"77834",1992,"pop"
"77875",1995,"rock"
"77878",1995,"hip hop"
"77882",1995,"pop"
"77923",1996,"rock"
"77926",1996,"hip hop"
"77930",1996,"pop"
"77971",2002,"rock"
"77974",2002,"hip hop"
"77978",2002,"pop"
"78006",2000,"indie"
"78014",2000,"rock"
"78020",2004,"indie"
"78028",2004,"rock"
"78035",1999,"pop"
"78054",1999,"hip hop"
"78073",1999,"rock"
"78091",2000,"pop"
"78102",2000,"rock"
"78120",1989,"pop"
"78131",1989,"rock"
"78149",2007,"pop"
"78160",2007,"rock"
"78178",1994,"pop"
"78189",1994,"rock"
"78207",1999,"pop"
"78218",1999,"rock"
"78231",2006,"indie"
"78238",2006,"rock"
"78239",2006,"pop"
"78271",2002,"indie"
"78278",2002,"rock"
"78279",2002,"pop"
"78311",2006,"indie"
"78318",2006,"rock"
"78319",2006,"pop"
"78347",1996,"pop"
"78348",1996,"rock"
"78352",1969,"rock"
"78364",1969,"pop"
"78375",1969,"jazz"
"78409",1995,"rock"
"78412",1979,"indie"
"78416",1979,"rock"
"78423",1979,"pop"
"78447",1979,"jazz"
"78475",1986,"pop"
"78487",1986,"rock"
"78515",1994,"pop"
"78527",1994,"rock"
"78538",2009,"indie"
"78540",2009,"rock"
"78542",2009,"pop"
"78558",2009,"rock"
"78569",2006,"rock"
"78580",2009,"rock"
"78599",1991,"jazz"
"78602",1991,"pop"
"78623",1991,"rock"
"78641",1992,"jazz"
"78644",1992,"pop"
"78665",1992,"rock"
"78683",1991,"jazz"
"78686",1991,"pop"
"78707",1991,"rock"
"78735",1999,"jazz"
"78736",1999,"rock"
"78738",1999,"hip hop"
"78739",1999,"pop"
"78776",1994,"rock"
"78786",1994,"hip hop"
"78788",1994,"pop"
"78807",1987,"rock"
"78810",1987,"jazz"
"78830",1987,"pop"
"78837",1987,"hip hop"
"78844",2000,"jazz"
"78847",2000,"rock"
"78874",2002,"jazz"
"78883",2002,"pop"
"78886",2008,"jazz"
"78895",2008,"pop"
"78898",2006,"jazz"
"78907",2006,"pop"
"78910",2002,"jazz"
"78919",2002,"pop"
"78922",2002,"jazz"
"78931",2002,"pop"
"78934",2002,"jazz"
"78943",2002,"pop"
"78961",1989,"indie"
"78975",1989,"rock"
"78979",1989,"jazz"
"78984",1989,"pop"
"79001",1986,"indie"
"79015",1986,"rock"
"79019",1986,"jazz"
"79024",1986,"pop"
"79041",2010,"indie"
"79055",2010,"rock"
"79059",2010,"jazz"
"79064",2010,"pop"
"79071",2007,"indie"
"79072",2007,"rock"
"79088",2007,"pop"
"79094",2009,"indie"
"79095",2009,"rock"
"79111",2009,"pop"
"79117",2007,"indie"
"79118",2007,"rock"
"79134",2007,"pop"
"79138",2007,"indie"
"79142",2007,"rock"
"79155",2007,"pop"
"79160",2007,"indie"
"79164",2007,"rock"
"79177",2007,"pop"
"79181",1999,"pop"
"79184",1999,"indie"
"79192",1999,"rock"
"79198",1998,"rock"
"79199",1998,"hip hop"
"79206",1998,"pop"
"79234",2008,"rock"
"79258",2000,"rock"
"79265",2002,"indie"
"79272",2002,"jazz"
"79280",2002,"rock"
"79290",2002,"pop"
"79309",2000,"indie"
"79316",2000,"jazz"
"79324",2000,"rock"
"79334",2000,"pop"
"79353",2002,"indie"
"79360",2002,"jazz"
"79368",2002,"rock"
"79378",2002,"pop"
"79397",2000,"indie"
"79404",2000,"jazz"
"79412",2000,"rock"
"79422",2000,"pop"
"79468",1999,"jazz"
"79474",1999,"rock"
"79487",1999,"jazz"
"79493",1999,"rock"
"79509",1973,"pop"
"79519",1973,"rock"
"79560",2000,"indie"
"79564",2000,"pop"
"79568",2000,"hip hop"
"79579",2000,"rock"
"79607",2000,"indie"
"79611",2000,"pop"
"79615",2000,"hip hop"
"79626",2000,"rock"
"79654",1997,"indie"
"79658",1997,"pop"
"79662",1997,"hip hop"
"79673",1997,"rock"
"79701",2000,"indie"
"79705",2000,"pop"
"79709",2000,"hip hop"
"79720",2000,"rock"
"79736",1998,"rock"
"79745",1998,"hip hop"
"79775",2002,"rock"
"79784",2002,"hip hop"
"79814",1995,"rock"
"79823",1995,"hip hop"
"79843",2000,"rock"
"79854",2000,"rock"
"79865",2010,"rock"
"79876",2007,"rock"
"79887",2000,"rock"
"79906",2010,"hip hop"
"79907",2010,"rock"
"79909",2006,"pop"
"79912",2006,"indie"
"79920",2006,"hip hop"
"79927",2006,"rock"
"79936",2004,"pop"
"79939",2004,"indie"
"79947",2004,"hip hop"
"79954",2004,"rock"
"79963",2008,"pop"
"79966",2008,"indie"
"79974",2008,"hip hop"
"79981",2008,"rock"
"79990",2004,"pop"
"79993",2004,"indie"
"80001",2004,"hip hop"
"80008",2004,"rock"
"80020",2005,"pop"
"80034",2005,"rock"
"80051",2005,"jazz"
"80061",2000,"jazz"
"80081",2002,"hip hop"
"80088",2002,"pop"
"80103",1993,"hip hop"
"80110",1993,"pop"
"80125",1997,"hip hop"
"80132",1997,"pop"
"80147",1997,"hip hop"
"80154",1997,"pop"
"80169",1990,"hip hop"
"80176",1990,"pop"
"80191",2005,"hip hop"
"80198",2005,"pop"
"80213",2008,"hip hop"
"80220",2008,"pop"
"80235",1997,"hip hop"
"80242",1997,"pop"
"80281",2002,"rock"
"80288",2002,"hip hop"
"80290",1992,"rock"
"80302",1992,"rock"
"80320",2006,"jazz"
"80323",2006,"hip hop"
"80327",2006,"rock"
"80332",2006,"pop"
"80349",2007,"jazz"
"80352",2007,"hip hop"
"80356",2007,"rock"
"80361",2007,"pop"
"80378",2007,"jazz"
"80381",2007,"hip hop"
"80385",2007,"rock"
"80390",2007,"pop"
"80407",2006,"jazz"
"80410",2006,"hip hop"
"80414",2006,"rock"
"80419",2006,"pop"
"80436",2007,"jazz"
"80439",2007,"hip hop"
"80443",2007,"rock"
"80448",2007,"pop"
"80465",2005,"jazz"
"80468",2005,"hip hop"
"80472",2005,"rock"
"80477",2005,"pop"
"80494",2007,"jazz"
"80497",2007,"hip hop"
"80501",2007,"rock"
"80506",2007,"pop"
"80519",2001,"rock"
"80523",2001,"pop"
"80559",2002,"rock"
"80581",2002,"jazz"
"80583",2002,"hip hop"
"80590",2002,"pop"
"80604",1988,"pop"
"80620",1988,"jazz"
"80635",1988,"rock"
"80648",1988,"hip hop"
"80670",2005,"indie"
"80679",2005,"jazz"
"80682",2005,"rock"
"80708",2005,"indie"
"80717",2005,"jazz"
"80720",2005,"rock"
"80732",2008,"rock"
"80745",2008,"pop"
"80751",1953,"jazz"
"80784",1983,"pop"
"80791",1983,"indie"
"80800",1983,"rock"
"80807",1983,"pop"
"80814",1983,"indie"
"80823",1983,"rock"
"80826",2009,"jazz"
"80831",2009,"rock"
"80832",2009,"pop"
"80846",2009,"jazz"
"80851",2009,"rock"
"80852",2009,"pop"
"80866",2009,"jazz"
"80871",2009,"rock"
"80872",2009,"pop"
"80886",2009,"jazz"
"80891",2009,"rock"
"80892",2009,"pop"
"80906",2006,"jazz"
"80911",2006,"rock"
"80912",2006,"pop"
"80927",1995,"rock"
"80938",1995,"jazz"
"80946",1995,"hip hop"
"80951",1978,"rock"
"80954",1978,"pop"
"80960",1978,"indie"
"80968",1980,"rock"
"80971",1980,"pop"
"80977",1980,"indie"
"80990",2001,"hip hop"
"80999",1993,"rock"
"81000",1993,"jazz"
"81011",1986,"rock"
"81012",1986,"jazz"
"81023",1993,"rock"
"81024",1993,"jazz"
"81035",1999,"rock"
"81036",1999,"jazz"
"81047",1989,"rock"
"81048",1989,"jazz"
"81059",1988,"rock"
"81060",1988,"jazz"
"81071",1999,"rock"
"81072",1999,"jazz"
"81083",1990,"rock"
"81084",1990,"jazz"
"81091",2008,"rock"
"81120",2008,"pop"
"81159",2009,"pop"
"81163",2009,"indie"
"81170",2009,"rock"
"81181",2009,"pop"
"81185",2009,"indie"
"81192",2009,"rock"
"81203",2006,"pop"
"81207",2006,"indie"
"81214",2006,"rock"
"81237",2002,"rock"
"81244",2005,"indie"
"81247",2005,"rock"
"81251",2005,"pop"
"81254",2005,"pop"
"81260",2005,"hip hop"
"81268",2005,"indie"
"81279",2007,"pop"
"81285",2007,"hip hop"
"81293",2007,"indie"
"81304",2005,"pop"
"81310",2005,"hip hop"
"81318",2005,"indie"
"81329",2002,"pop"
"81341",1994,"jazz"
"81342",1994,"hip hop"
"81376",1994,"rock"
"81386",1992,"jazz"
"81387",1992,"hip hop"
"81421",1992,"rock"
"81431",1992,"jazz"
"81432",1992,"hip hop"
"81466",1992,"rock"
"81484",2000,"pop"
"81499",2000,"rock"
"81524",2000,"pop"
"81539",2000,"rock"
"81557",2007,"pop"
"81558",2007,"hip hop"
"81585",2007,"rock"
"81598",2007,"jazz"
"81626",1979,"pop"
"81629",1979,"rock"
"81630",1979,"indie"
"81648",1990,"hip hop"
"81674",1991,"pop"
"81684",1991,"rock"
"81698",1969,"hip hop"
"81724",1969,"jazz"
"81728",1969,"rock"
"81734",1969,"pop"
"81747",1967,"hip hop"
"81773",1967,"jazz"
"81777",1967,"rock"
"81783",1967,"pop"
"81796",1989,"hip hop"
"81822",1989,"jazz"
"81826",1989,"rock"
"81832",1989,"pop"
"81845",1989,"hip hop"
"81871",1989,"jazz"
"81875",1989,"rock"
"81881",1989,"pop"
"81897",1995,"jazz"
"81914",1995,"jazz"
"81929",1993,"jazz"
"81935",1993,"rock"
"81965",1994,"jazz"
"81971",1994,"rock"
"82001",1994,"jazz"
"82007",1994,"rock"
"82037",1993,"jazz"
"82043",1993,"rock"
"82081",1992,"indie"
"82085",1992,"hip hop"
"82090",1992,"pop"
"82102",1992,"rock"
"82126",1990,"indie"
"82130",1990,"hip hop"
"82135",1990,"pop"
"82147",1990,"rock"
"82151",2009,"rock"
"82154",2009,"pop"
"82165",2009,"jazz"
"82180",2005,"hip hop"
"82195",2003,"indie"
"82206",2003,"hip hop"
"82209",2003,"pop"
"82238",2005,"rock"
"82241",2009,"pop"
"82252",2004,"hip hop"
"82281",2004,"pop"
"82293",2004,"rock"
"82316",2005,"rock"
"82346",2007,"rock"
"82359",1989,"indie"
"82366",1989,"pop"
"82368",1989,"rock"
"82369",1989,"jazz"
"82371",1989,"hip hop"
"82396",2004,"indie"
"82403",2004,"pop"
"82405",2004,"rock"
"82406",2004,"jazz"
"82408",2004,"hip hop"
"82433",1994,"indie"
"82440",1994,"pop"
"82442",1994,"rock"
"82443",1994,"jazz"
"82445",1994,"hip hop"
"82470",1994,"indie"
"82477",1994,"pop"
"82479",1994,"rock"
"82480",1994,"jazz"
"82482",1994,"hip hop"
"82525",2007,"rock"
"82538",1976,"indie"
"82551",1976,"rock"
"82563",1996,"rock"
"82573",1967,"rock"
"82583",1967,"rock"
"82603",2001,"rock"
"82616",2001,"jazz"
"82617",2001,"hip hop"
"82636",2001,"rock"
"82649",2001,"jazz"
"82650",2001,"hip hop"
"82669",2001,"rock"
"82682",2001,"jazz"
"82683",2001,"hip hop"
"82702",2001,"rock"
"82715",2001,"jazz"
"82716",2001,"hip hop"
"82735",2001,"rock"
"82748",2001,"jazz"
"82749",2001,"hip hop"
"82768",2001,"rock"
"82781",2001,"jazz"
"82782",2001,"hip hop"
"82796",1987,"rock"
"82801",1987,"jazz"
"82809",1987,"pop"
"82815",2009,"indie"
"82820",2009,"rock"
"82822",2009,"pop"
"82826",2009,"jazz"
"82841",2006,"indie"
"82846",2006,"rock"
"82848",2006,"pop"
"82852",2006,"jazz"
"82905",1991,"rock"
"82913",1991,"indie"
"82940",1991,"rock"
"82948",1991,"indie"
"82960",1969,"rock"
"82970",1999,"rock"
"82980",1996,"rock"
"83001",1998,"jazz"
"83014",1998,"pop"
"83032",1998,"indie"
"83058",1998,"hip hop"
"83065",1998,"rock"
"83214",1992,"hip hop"
"83229",1970,"rock"
"83232",1970,"pop"
"83245",2004,"indie"
"83254",2004,"rock"
"83258",2004,"pop"
"83266",2007,"rock"
"83290",2007,"jazz"
"83304",2007,"pop"
"83317",2000,"jazz"
"83320",2000,"pop"
"83325",2000,"rock"
"83352",2005,"pop"
"83363",2005,"jazz"
"83371",2001,"pop"
"83382",2001,"jazz"
"83388",1956,"jazz"
"83412",1956,"pop"
"83423",1956,"rock"
"83427",1956,"jazz"
"83451",1956,"pop"
"83462",1956,"rock"
"83466",1953,"jazz"
"83490",1953,"pop"
"83501",1953,"rock"
"83513",2006,"pop"
"83527",2006,"rock"
"83547",1988,"rock"
"83556",1988,"pop"
"83564",1988,"jazz"
"83571",1988,"rock"
"83580",1988,"pop"
"83588",1988,"jazz"
"83597",1992,"pop"
"83602",1992,"rock"
"83610",2002,"pop"
"83615",2002,"rock"
"83623",2002,"pop"
"83628",2002,"rock"
"83637",1975,"rock"
"83638",1975,"indie"
"83645",1975,"pop"
"83659",1975,"jazz"
"83674",1984,"rock"
"83678",1984,"pop"
"83687",1991,"pop"
"83693",1991,"rock"
"83722",2004,"indie"
"83730",2004,"pop"
"83734",2004,"rock"
"83742",2007,"indie"
"83750",2007,"pop"
"83754",2007,"rock"
"83762",2004,"indie"
"83770",2004,"pop"
"83774",2004,"rock"
"83782",2004,"indie"
"83790",2004,"pop"
"83794",2004,"rock"
"83802",1997,"pop"
"83815",1997,"rock"
"83830",1997,"jazz"
"83846",1985,"pop"
"83859",1985,"rock"
"83874",1985,"jazz"
"83890",1966,"pop"
"83903",1966,"rock"
"83918",1966,"jazz"
"83944",2006,"rock"
"83964",2006,"rock"
"84001",2009,"rock"
"84011",2009,"pop"
"84015",2009,"jazz"
"84029",2009,"hip hop"
"84050",2008,"rock"
"84060",2008,"pop"
"84064",2008,"jazz"
"84078",2008,"hip hop"
"84099",1996,"rock"
"84109",1996,"pop"
"84113",1996,"jazz"
"84127",1996,"hip hop"
"84148",1996,"rock"
"84158",1996,"pop"
"84162",1996,"jazz"
"84176",1996,"hip hop"
"84180",2006,"rock"
"84192",1998,"rock"
"84208",2006,"jazz"
"84228",2009,"jazz"
"84249",1997,"pop"
"84256",1997,"rock"
"84276",1968,"jazz"
"84298",1968,"hip hop"
"84299",1968,"pop"
"84316",1968,"rock"
"84322",1968,"jazz"
"84344",1968,"hip hop"
"84345",1968,"pop"
"84362",1968,"rock"
"84385",1999,"indie"
"84387",1999,"rock"
"84411",1999,"pop"
"84433",2009,"indie"
"84435",2009,"rock"
"84459",2009,"pop"
"84460",2007,"rock"
"84472",2007,"indie"
"84474",2007,"hip hop"
"84478",2007,"pop"
"84481",2007,"rock"
"84493",2007,"indie"
"84495",2007,"hip hop"
"84499",2007,"pop"
"84502",2005,"rock"
"84517",2005,"rock"
"84536",1988,"pop"
"84538",1988,"indie"
"84544",1988,"rock"
"84563",1991,"pop"
"84565",1991,"indie"
"84571",1991,"rock"
"84590",1986,"pop"
"84592",1986,"indie"
"84598",1986,"rock"
"84617",1987,"pop"
"84619",1987,"indie"
"84625",1987,"rock"
"84644",1987,"pop"
"84646",1987,"indie"
"84652",1987,"rock"
"84671",2008,"pop"
"84673",2008,"indie"
"84679",2008,"rock"
"84698",1973,"rock"
"84703",1973,"jazz"
"84736",1973,"hip hop"
"84749",1987,"jazz"
"84788",2004,"jazz"
"84797",2004,"rock"
"84820",2010,"jazz"
"84829",2010,"rock"
"84852",1999,"jazz"
"84861",1999,"rock"
"84886",2002,"pop"
"84889",2002,"hip hop"
"84898",2004,"pop"
"84901",2004,"hip hop"
"84910",2006,"pop"
"84913",2006,"hip hop"
"84922",2004,"pop"
"84925",2004,"hip hop"
"84934",2002,"pop"
"84937",2002,"hip hop"
"84946",2004,"pop"
"84949",2004,"hip hop"
"84958",2004,"pop"
"84961",2004,"hip hop"
"84970",2006,"pop"
"84973",2006,"hip hop"
"84981",1993,"pop"
"84984",1993,"jazz"
"84992",1993,"pop"
"84995",1993,"jazz"
"85003",1993,"pop"
"85006",1993,"jazz"
"85014",2007,"hip hop"
"85015",2007,"pop"
"85031",2007,"rock"
"85036",2003,"hip hop"
"85037",2003,"pop"
"85053",2003,"rock"
"85058",1999,"hip hop"
"85059",1999,"pop"
"85075",1999,"rock"
"85080",1999,"hip hop"
"85081",1999,"pop"
"85097",1999,"rock"
"85102",1996,"hip hop"
"85103",1996,"pop"
"85119",1996,"rock"
"85127",2008,"hip hop"
"85146",2008,"jazz"
"85155",1991,"indie"
"85176",1991,"pop"
"85178",1991,"hip hop"
"85192",1991,"rock"
"85201",2010,"indie"
"85222",2010,"pop"
"85224",2010,"hip hop"
"85238",2010,"rock"
"85256",1987,"jazz"
"85259",1987,"pop"
"85265",1987,"indie"
"85270",1987,"hip hop"
"85287",1987,"rock"
"85296",2004,"rock"
"85330",2004,"rock"
"85372",1995,"pop"
"85416",1995,"rock"
"85436",1995,"pop"
"85480",1995,"rock"
"85488",2003,"pop"
"85498",2003,"rock"
"85517",2003,"indie"
"85528",2003,"pop"
"85538",2003,"rock"
"85557",2003,"indie"
"85581",2000,"hip hop"
"85589",2000,"jazz"
"85637",1982,"pop"
"85638",1982,"rock"
"85643",1982,"hip hop"
"85649",1982,"jazz"
"85682",1984,"pop"
"85683",1984,"rock"
"85688",1984,"hip hop"
"85694",1984,"jazz"
"85727",1982,"pop"
"85728",1982,"rock"
"85733",1982,"hip hop"
"85739",1982,"jazz"
"85772",1982,"pop"
"85773",1982,"rock"
"85778",1982,"hip hop"
"85784",1982,"jazz"
"85817",1982,"pop"
"85818",1982,"rock"
"85823",1982,"hip hop"
"85829",1982,"jazz"
"85844",2004,"rock"
"85853",2004,"hip hop"
"85855",2006,"rock"
"85864",2006,"pop"
"85871",2006,"hip hop"
"85897",2006,"indie"
"85903",1990,"jazz"
"85933",1990,"pop"
"85941",1990,"rock"
"85945",1992,"jazz"
"85975",1992,"pop"
"85983",1992,"rock"
"85987",1990,"jazz"
"86017",1990,"pop"
"86025",1990,"rock"
"86027",2007,"pop"
"86038",2005,"jazz"
"86047",2005,"hip hop"
"86053",2005,"rock"
"86074",2005,"pop"
"86088",2005,"jazz"
"86097",2005,"hip hop"
"86103",2005,"rock"
"86124",2005,"pop"
"86142",1990,"rock"
"86150",1990,"jazz"
"86160",1990,"pop"
"86161",1990,"hip hop"
"86188",1984,"rock"
"86196",1984,"jazz"
"86206",1984,"pop"
"86207",1984,"hip hop"
"86234",1984,"rock"
"86242",1984,"jazz"
"86252",1984,"pop"
"86253",1984,"hip hop"
"86280",1983,"rock"
"86288",1983,"jazz"
"86298",1983,"pop"
"86299",1983,"hip hop"
"86327",1967,"rock"
"86338",1967,"pop"
"86365",1967,"rock"
"86376",1967,"pop"
"86403",1969,"rock"
"86414",1969,"pop"
"86441",1968,"rock"
"86452",1968,"pop"
"86480",2007,"rock"
"86482",2007,"hip hop"
"86483",2007,"jazz"
"86484",2007,"pop"
"86493",2007,"rock"
"86495",2007,"hip hop"
"86496",2007,"jazz"
"86497",2007,"pop"
"86510",2010,"rock"
"86515",2010,"hip hop"
"86535",1981,"pop"
"86554",1981,"rock"
"86560",1981,"jazz"
"86566",2004,"pop"
"86585",2004,"rock"
"86591",2004,"jazz"
"86597",1991,"pop"
"86616",1991,"rock"
"86622",1991,"jazz"
"86628",1983,"pop"
"86647",1983,"rock"
"86653",1983,"jazz"
"86679",2004,"rock"
"86689",2004,"pop"
"86699",2004,"rock"
"86709",2004,"pop"
"86719",2004,"rock"
"86729",2004,"pop"
"86739",2004,"rock"
"86749",2004,"pop"
"86759",2009,"rock"
"86769",2009,"pop"
"86789",2002,"pop"
"86814",2001,"pop"
"86828",2001,"rock"
"86835",2001,"pop"
"86836",2001,"hip hop"
"86877",1995,"rock"
"86884",1995,"pop"
"86885",1995,"hip hop"
"86926",2001,"rock"
"86933",2001,"pop"
"86934",2001,"hip hop"
